DÉPARTEMENT,COMMUNES,LIEU DE VOTE,N°,ÉLECTEURS,IMPLANTATION
DAKAR,MERMOZ SACRE COEUR,CASE DES TOUT PETITS V.D.N.,1,591,CLASSE GRANDE SECTION
DAKAR,MERMOZ SACRE COEUR,CASE DES TOUT PETITS V.D.N.,2,592,CLASSE MOYENNE SECTION
DAKAR,MERMOZ SACRE COEUR,CASE DES TOUT PETITS V.D.N.,3,543,SALLE DE CLASSE
DAKAR,MERMOZ SACRE COEUR,ECOLE LIBERTE 5,1,561,CLASSE CM2 C
DAKAR,MERMOZ SACRE COEUR,ECOLE LIBERTE 5,2,561,CLASSE CM1 B
DAKAR,MERMOZ SACRE COEUR,ECOLE LIBERTE 5,3,563,CLASSE CP A
DAKAR,MERMOZ SACRE COEUR,ECOLE LIBERTE 5,4,561,CLASSE CP B
DAKAR,MERMOZ SACRE COEUR,ECOLE LIBERTE 5,5,560,CLASSE CE1 A
DAKAR,MERMOZ SACRE COEUR,ECOLE LIBERTE 5,6,561,CLASSE CE1 B
DAKAR,MERMOZ SACRE COEUR,ECOLE LIBERTE 5,7,563,CLASSE CM1 A
DAKAR,MERMOZ SACRE COEUR,ECOLE LIBERTE 5,8,562,CLASSE CM2 B
DAKAR,MERMOZ SACRE COEUR,ECOLE MASSE MASSAER NIANE1 (BAOBAB),1,567,CLASSE CI A
DAKAR,MERMOZ SACRE COEUR,ECOLE MASSE MASSAER NIANE1 (BAOBAB),2,569,CLASSE CE1
DAKAR,MERMOZ SACRE COEUR,ECOLE MASSE MASSAER NIANE1 (BAOBAB),3,571,CLASSE CE2
DAKAR,MERMOZ SACRE COEUR,ECOLE MASSE MASSAER NIANE1 (BAOBAB),4,569,CLASSE CM1
DAKAR,MERMOZ SACRE COEUR,ECOLE MASSE MASSAER NIANE1 (BAOBAB),5,569,CLASSE CM2 A
DAKAR,MERMOZ SACRE COEUR,ECOLE MASSE MASSAER NIANE1 (BAOBAB),6,570,CLASSE CI B
DAKAR,MERMOZ SACRE COEUR,ECOLE MASSE MASSAER NIANE1 (BAOBAB),7,572,CLASSE CP B
DAKAR,MERMOZ SACRE COEUR,ECOLE MASSE MASSAER NIANE1 (BAOBAB),8,570,CLASSE CPA
DAKAR,MERMOZ SACRE COEUR,ECOLE MASSE MASSAER NIANE1 (BAOBAB),9,491,SALLE DE CLASSE
DAKAR,MERMOZ SACRE COEUR,ECOLE NAFISSATOU NIANG,1,597,CLASSE CE1 A
DAKAR,MERMOZ SACRE COEUR,ECOLE NAFISSATOU NIANG,2,599,CLASSE CI A
DAKAR,MERMOZ SACRE COEUR,ECOLE NAFISSATOU NIANG,3,595,CLASSE CE2 A
DAKAR,MERMOZ SACRE COEUR,ECOLE NAFISSATOU NIANG,4,597,CLASSE CM1 A
DAKAR,MERMOZ SACRE COEUR,ECOLE NAFISSATOU NIANG,5,597,CLASSE CM2 B
