DÉPARTEMENT,COMMUNES,LIEU DE VOTE,N°,ÉLECTEURS,IMPLANTATION
BAMBEY,BAMBEY,ECOLE 2,01,596,CLASSE CP A
BAMBEY,BAMBEY,ECOLE 2,02,599,CLASSE CM2 A
BAMBEY,BAMBEY,ECOLE 2,03,598,CLASSE CE2 A
BAMBEY,BAMBEY,ECOLE 2,04,589,CLASSE CE1B
BAMBEY,BAMBEY,ECOLE 2,05,587,CLASSE CE1B
BAMBEY,BAMBEY,ECOLE 3,01,581,CLASSE CP B
BAMBEY,BAMBEY,ECOLE 3,02,580,CLASSE CM2 A
BAMBEY,BAMBEY,ECOLE 3,03,580,CLASSE CP
BAMBEY,BAMBEY,ECOLE 3,04,580,CLASSE CE2A
BAMBEY,BAMBEY,ECOLE 4,01,585,CLASSE CE1 B
BAMBEY,BAMBEY,ECOLE 4,02,584,CLASSE CP A
BAMBEY,BAMBEY,ECOLE 4,03,585,CLASSE CI A
BAMBEY,BAMBEY,ECOLE 4,04,585,CLASSE CM2 B
BAMBEY,BAMBEY,ECOLE 4,05,582,CLASSE CM1 A
BAMBEY,BAMBEY,ECOLE 4,06,580,CLASSE CE1 A
BAMBEY,BAMBEY,ECOLE 5,01,599,CLASSE CP B
BAMBEY,BAMBEY,ECOLE 5,02,597,CLASSE CM1  A
BAMBEY,BAMBEY,ECOLE 5,03,553,CLASSE CE2A
BAMBEY,BAMBEY,ECOLE ANNEXE,01,451,CLASSE CE2 A
BAMBEY,BAMBEY,ECOLE ANNEXE,02,453,CLASSE CP B
BAMBEY,BAMBEY,ECOLE CHEIKH AWA BALLA MBACKE,01,589,CLASSE CM1 B
BAMBEY,BAMBEY,ECOLE CHEIKH AWA BALLA MBACKE,02,598,CLASSE CP A
BAMBEY,BAMBEY,ECOLE CHEIKH AWA BALLA MBACKE,03,592,CLASSE CE2 A
BAMBEY,BAMBEY,ECOLE CHEIKH AWA BALLA MBACKE,04,512,CLASSE CIA
BAMBEY,BAMBEY,ECOLE CHEIKH AWA BALLA MBACKE,05,517,CLASSE CM2A
BAMBEY,BAMBEY,ECOLE CHEIKH AWA BALLA MBACKE,06,252,CLASSE CE 1A
BAMBEY,BAMBEY,MAIRIE,01,595,HALL HOTEL DE VILLE
BAMBEY,BAMBEY,MAIRIE,02,594,SALLE DES BANQUETS
BAMBEY,BAMBEY,MAIRIE,03,529,SALLE DE LA MAIRIE
BAMBEY,BABA GARAGE,BABA GARAGE 1,01,526,CLASSE CP A
BAMBEY,BABA GARAGE,BABA GARAGE 1,02,520,CLASSE CE1 A
BAMBEY,BABA GARAGE,BABA GARAGE 1,03,524,CLASSE CM1 A
BAMBEY,BABA GARAGE,BABA GARAGE 1,04,525,CLASSE CM1 B
BAMBEY,BABA GARAGE,BABA GARAGE 1,05,520,CLASSE CE2 B
BAMBEY,BABA GARAGE,DAROU BAKHOUM,01,323,ABRI PROVISOIRE
BAMBEY,BABA GARAGE,DAROU NGUER,01,286,CLASSE CI
BAMBEY,BABA GARAGE,GNICK,01,363,ABRI PROVISOIRE
BAMBEY,BABA GARAGE,KEUR OUSMANE KANE,01,577,CLASSE CE2
BAMBEY,BABA GARAGE,KHAYE NDIAYE,01,271,ABRI PROVISOIRE
BAMBEY,BABA GARAGE,MBAKHE,01,215,CLASSE CM2
BAMBEY,BABA GARAGE,NDARY DIOP,01,477,CLASSE CM1
BAMBEY,BABA GARAGE,NDIABY,01,257,CLASSE CP
BAMBEY,BABA GARAGE,NDIOBEL,01,358,CLASSE CI
BAMBEY,BABA GARAGE,SAM-SAM,01,370,ABRI PROVISOIRE
BAMBEY,BABA GARAGE,TAWA FALL,01,345,CLASSE CM1
BAMBEY,BABA GARAGE,TAWA FALL,02,348,CLASSE CE2
