DÉPARTEMENT,COMMUNES,LIEU DE VOTE,N°,ÉLECTEURS,IMPLANTATION
FATICK,DIAKHAO,C.E.M DIAKHAO,1,451,SALLE DE CLASSE 1
FATICK,DIAKHAO,C.E.M DIAKHAO,2,450,SALLE DE CLASSE 4
FATICK,DIAKHAO,DIAKHAO ECOLE,1,560,SALLE DE CLASSE 1
FATICK,DIAKHAO,DIAKHAO ECOLE,2,558,SALLE DE CLASSE 4
FATICK,DIAKHAO,DIAKHAO ECOLE,3,560,SALLE DE CLASSE 6
FATICK,DIAKHAO,DIAKHAO ECOLE,4,534,SALLE DE CLASSE 2
FATICK,DIOFIOR,ECOLE COLY SENGHOR,1,584,CLASSE CM2A
FATICK,DIOFIOR,ECOLE COLY SENGHOR,2,586,CLASSE CM1A
FATICK,DIOFIOR,ECOLE COLY SENGHOR,3,589,CLASSE CE2A
FATICK,DIOFIOR,ECOLE COLY SENGHOR,4,582,CLASSE CPB
FATICK,DIOFIOR,ECOLE COLY SENGHOR,5,582,CLASSE CPA
FATICK,DIOFIOR,ECOLE COLY SENGHOR,6,471,CE1A
FATICK,DIOFIOR,ECOLE COLY SENGHOR,7,472,CE1B
FATICK,DIOFIOR,ECOLE SINDIANEKA,1,594,CLASSE CPB
FATICK,DIOFIOR,ECOLE SINDIANEKA,2,595,CLASSE CE1B
FATICK,DIOFIOR,ECOLE SINDIANEKA,3,592,CLASSE CM1B
FATICK,DIOFIOR,ECOLE SINDIANEKA,4,513,CM1A
FATICK,DIOFIOR,ECOLE SINDIANEKA,5,512,CM2A
FATICK,DIOFIOR,ECOLE SINDIANEKA,6,514,CM2B
FATICK,DIOFIOR,MAIRIE,1,589,SALLE DE DELIBERATIONS
FATICK,DIOFIOR,MAIRIE,2,154,SALLE
FATICK,FATICK,CEM KHAR NDOFFENE DIOUF,1,583,SALLE 11
FATICK,FATICK,CEM KHAR NDOFFENE DIOUF,2,580,SALLE 13
FATICK,FATICK,CEM KHAR NDOFFENE DIOUF,3,579,SALLE 15
FATICK,FATICK,CEM KHAR NDOFFENE DIOUF,4,581,SALLE 5
FATICK,FATICK,CEM KHAR NDOFFENE DIOUF,5,582,SALLE 7
FATICK,FATICK,CEM KHAR NDOFFENE DIOUF,6,581,SALLE 4
FATICK,FATICK,CEM KHAR NDOFFENE DIOUF,7,581,SALLE 9
FATICK,FATICK,CEM KHAR NDOFFENE DIOUF,8,549,SALLE 10
FATICK,FATICK,CEM THIERNO MAMADOU SALL,1,578,SALLE 1
FATICK,FATICK,CEM THIERNO MAMADOU SALL,2,576,SALLE 2
FATICK,FATICK,CEM THIERNO MAMADOU SALL,3,581,SALLE 3
FATICK,FATICK,CEM THIERNO MAMADOU SALL,4,577,SALLE 4
FATICK,FATICK,CEM THIERNO MAMADOU SALL,5,576,SALLE 5
FATICK,FATICK,CEM THIERNO MAMADOU SALL,6,576,SALLE 6
FATICK,FATICK,CEM THIERNO MAMADOU SALL,7,574,SALLE 8
FATICK,FATICK,CEM THIERNO MAMADOU SALL,8,571,SALLE 11
FATICK,FATICK,CEM THIERNO MAMADOU SALL,9,542,SALLE 16
FATICK,FATICK,CEM THIERNO MAMADOU SALL,10,318,SALLE 10
FATICK,FATICK,ECOLE DIARAF THIAGOUNE NDIAYE,1,591,CLASSE CE1B
FATICK,FATICK,ECOLE DIARAF THIAGOUNE NDIAYE,2,597,CLASSE C I A
FATICK,FATICK,ECOLE DIARAF THIAGOUNE NDIAYE,3,598,CLASSE CPA
FATICK,FATICK,ECOLE DIARAF THIAGOUNE NDIAYE,4,596,CLASSE CM2B
FATICK,FATICK,ECOLE DIARAF THIAGOUNE NDIAYE,5,566,CM1 B
FATICK,FATICK,ECOLE DIARAF THIAGOUNE NDIAYE,6,130,CLASSE CE2
FATICK,FATICK,ECOLE FAYE DALI,1,572,CLASSE C I B
FATICK,FATICK,ECOLE FAYE DALI,2,576,CLASSE CM2A
FATICK,FATICK,ECOLE FAYE DALI,3,577,CLASSE CE2B
FATICK,FATICK,ECOLE FAYE DALI,4,570,CLASSE CE2A
FATICK,FATICK,ECOLE FAYE DALI,5,574,CLASSE CPB
FATICK,FATICK,ECOLE FAYE DALI,6,573,CLASSE MATERNELLE
FATICK,FATICK,ECOLE FAYE DALI,7,572,CI A
FATICK,FATICK,ECOLE FAYE DALI,8,235,CLASSE CM2 B
FATICK,FATICK,ECOLE NGOR NDAME NDIAYE,1,522,SALLE 9
FATICK,FATICK,ECOLE NGOR NDAME NDIAYE,2,522,SALLE 4
FATICK,FATICK,ECOLE NGOR NDAME NDIAYE,3,523,SALLE 1
FATICK,FATICK,ECOLE NGOR NDAME NDIAYE,4,310,SALLE 10
FATICK,FATICK,ECOLE SALIF BA,1,528,CLASSE CE2B
FATICK,FATICK,ECOLE SALIF BA,2,527,CLASSE CE1A
FATICK,FATICK,ECOLE SALIF BA,3,524,CLASSE CM2B
FATICK,FATICK,ECOLE SALIF BA,4,510,CE1B
FATICK,DIAOULE,DIAOULE ECOLE,1,494,SALLE DE CLASSE 1
FATICK,DIAOULE,DIAOULE ECOLE,2,494,SALLE DE CLASSE 4
FATICK,DIAOULE,DIAOULE ECOLE,3,494,SALLE 7 CM1
FATICK,DIAOULE,ECOLE BOOF COOP,1,236,SALLE DE CLASSE
FATICK,DIAOULE,ECOLE DIAMBEYE,1,238,ECOLE SALLE DE CLASSE 1
FATICK,DIAOULE,ECOLE DIATMOURI,1,396,SALLE DE CLASSE 2
FATICK,DIAOULE,ECOLE KEUR GUEDJI,1,142,SALLE DE CLASSE 3
FATICK,DIAOULE,FELANE,1,477,SALLE DE CLASSE 1
FATICK,DIAOULE,GALANGUE SERERE,1,398,ABRI PROVISOIRE
FATICK,DIAOULE,KORA,1,367,SALLE DE CLASSE 1
FATICK,DIAOULE,MAROUTTE,1,316,SALLE DE CLASSE 1
FATICK,DIAOULE,MAROUTTE,2,316,SALLE DE CLASSE 5
