DÉPARTEMENT,COMMUNES,LIEU DE VOTE,N°,ÉLECTEURS,IMPLANTATION
BIRKILANE,BIRKILANE,ECOLE ABDOUL AZIZ BOUSSO,1,548,SALLE 1
BIRKILANE,BIRKILANE,ECOLE ABDOUL AZIZ BOUSSO,2,549,SALLE 2
BIRKILANE,BIRKILANE,ECOLE ABDOUL AZIZ BOUSSO,3,460,SALLE DE CLASSE
BIRKILANE,BIRKILANE,ECOLE ABDOUL AZIZ BOUSSO,4,466,SALLE DE CLASSE
BIRKILANE,BIRKILANE,ECOLE MOR KHOUDIA SY,1,373,SALLE 1
BIRKILANE,BIRKILANE,ECOLE MOR KHOUDIA SY,2,370,SALLE 2
BIRKILANE,BIRKILANE,ECOLE MOR KHOUDIA SY,3,369,SALLE 3
BIRKILANE,BIRKILANE,ECOLE THIANDELLA FALL,1,332,SALLE 1
BIRKILANE,BIRKILANE,ECOLE THIANDELLA FALL,2,329,SALLE 2
BIRKILANE,BIRKILANE,ECOLE THIANDELLA FALL,3,330,SALLE 3
BIRKILANE,BIRKILANE,ECOLE THIANDELLA FALL,4,331,SALLE 4
BIRKILANE,BIRKILANE,ECOLE THIANDELLA FALL,5,331,SALLE 5
BIRKILANE,BIRKILANE,ECOLE THIANDELLA FALL,6,326,SALLE 6
BIRKILANE,DIAMAL,DIAMAL,1,475,ECOLE SALLE 1
BIRKILANE,DIAMAL,DIAMAL,2,474,ECOLE SALLE 2
BIRKILANE,DIAMAL,DIAMAL,3,450,SALLE DE CLASSE
BIRKILANE,DIAMAL,ECOLE ELEMENTAIRE GAMA,1,392,SALLE DE CLASSE
BIRKILANE,DIAMAL,ECOLE FRANCO-ARABE KEUR ISMAILA,1,416,SALLE DE CLASSE
BIRKILANE,DIAMAL,ECOLE KEBE GOUYE,1,359,SALLE DE CLASSE
BIRKILANE,DIAMAL,ECOLE NGORDJILENE MOURIDE,1,277,SALLE DE CLASSE
BIRKILANE,DIAMAL,FASS MAKHTAR,1,168,ABRI PROVISOIRE
BIRKILANE,DIAMAL,GAINTHE BOYE,1,170,ECOLE SALLE 1
BIRKILANE,DIAMAL,KEUR IBRAHIMA MBAYE,1,179,ECOLE SALLE 1
BIRKILANE,DIAMAL,KORKY BAMBARA,1,480,ECOLE SALLE 1
