DÉPARTEMENT,COMMUNES,LIEU DE VOTE,N°,ÉLECTEURS,IMPLANTATION
GUINGUINEO,FASS,FASS KANE,01,508,ECOLE ELEMENTAIRE CE1 B
GUINGUINEO,FASS,FASS KANE,02,510,ECOLE ELEMENTAIRE CE1 A
GUINGUINEO,FASS,FASS KANE,03,509,ECOLE ELEMENTAIRE CE2 B
GUINGUINEO,FASS,FASS KOFFE,01,546,ECOLE ELEMENTAIRE CE1
GUINGUINEO,FASS,FASS KOFFE,02,147,ECOLE ELEMENTAIRE CM2
GUINGUINEO,GUINGUINEO,ECOLE EL HADJI FODE DIOUF,01,535,CP A
GUINGUINEO,GUINGUINEO,ECOLE EL HADJI FODE DIOUF,02,535,CM1 B
GUINGUINEO,GUINGUINEO,ECOLE EL HADJI FODE DIOUF,03,536,CM2 A
GUINGUINEO,GUINGUINEO,ECOLE EL HADJI FODE DIOUF,04,499,C.I. B
GUINGUINEO,GUINGUINEO,ECOLE ELH.DOUDOU KANTE,01,551,CE1 A
GUINGUINEO,GUINGUINEO,ECOLE ELH.DOUDOU KANTE,02,553,CM2
GUINGUINEO,GUINGUINEO,ECOLE ELH.DOUDOU KANTE,03,552,C.I. A
GUINGUINEO,GUINGUINEO,ECOLE ELH.DOUDOU KANTE,04,491,C.I.B
GUINGUINEO,GUINGUINEO,ECOLE FARABOUGOU,01,378,CE2
GUINGUINEO,GUINGUINEO,ECOLE MOUSTAPHA SARR,01,599,CE2 A
GUINGUINEO,GUINGUINEO,ECOLE MOUSTAPHA SARR,02,596,CM1 B
GUINGUINEO,GUINGUINEO,ECOLE MOUSTAPHA SARR,03,596,CE1 A
GUINGUINEO,GUINGUINEO,ECOLE MOUSTAPHA SARR,04,597,CM2 A
GUINGUINEO,GUINGUINEO,ECOLE MOUSTAPHA SARR,05,490,CP A
GUINGUINEO,GUINGUINEO,ECOLE MOUSTAPHA SARR,06,181,CM2 B
GUINGUINEO,GUINGUINEO,MAIRIE,01,599,MATERNELLE PETITE SECT. 1
GUINGUINEO,GUINGUINEO,MAIRIE,02,597,MATERNELLE PETITE SECT. 2
GUINGUINEO,GUINGUINEO,MAIRIE,03,595,MATERNELLE MOYENNE SECT.
GUINGUINEO,GUINGUINEO,MAIRIE,04,446,MATERNELLE GRANDE SECT.1
GUINGUINEO,GUINGUINEO,MAIRIE,05,180,MATERNELLE GRANDE SECT.2
GUINGUINEO,MBOSS,MBOSS ESCALE,01,410,ECOLE SALLE 1
GUINGUINEO,MBOSS,MBOSS ESCALE,02,407,ECOLE SALLE 2
GUINGUINEO,MBOSS,MBOSS MOURIDE,01,162,SALLE D ALPHABETISATION
GUINGUINEO,MBOSS,MBOSS NDIAMBOUR,01,343,MAISON COMMUNAUTAIRE
GUINGUINEO,MBOSS,MBOSS NDIAMBOUR,02,342,FOYER DES JEUNES
GUINGUINEO,MBOSS,MBOSS TIDIANE,01,435,ECOLE ARABE
GUINGUINEO,KHELCOM BIRAME,BACK SAMBA DIOR,01,207,ECOLE ELEMENTAIRE CE1- CE2
GUINGUINEO,KHELCOM BIRAME,DAGA SAMBARE,01,150,ECOLE ELEMENTAIRE CI
GUINGUINEO,KHELCOM BIRAME,DAROU BACK,01,233,ECOLE ELEMENTAIRE CI
GUINGUINEO,KHELCOM BIRAME,DIAGLE NGOR,01,279,ECOLE ELEMENTAIRE CI
GUINGUINEO,KHELCOM BIRAME,KHAYOKHE,01,372,ECOLE ELEMENTAIRE CE1- CE2
GUINGUINEO,KHELCOM BIRAME,KHELCOM,01,383,ECOLE ELEMENTAIRE CI
GUINGUINEO,KHELCOM BIRAME,KHELCOM,02,383,ECOLE ELEMENTAIRE CE1
GUINGUINEO,KHELCOM BIRAME,NDOFFANE COLY,01,301,ECOLE ELEMENTAIRE CM2
GUINGUINEO,KHELCOM BIRAME,NDOFFANE TANEWAR,01,184,ECOLE ELEMENTAIRE CM1
GUINGUINEO,KHELCOM BIRAME,NGUEKOKH,01,561,ECOLE ELEMENTAIRE CI
GUINGUINEO,KHELCOM BIRAME,SAME,01,138,ECOLE ELEMENTAIRE CE1
GUINGUINEO,KHELCOM BIRAME,SATE WALI,01,289,ECOLE ELEMENTAIRE CI
GUINGUINEO,KHELCOM BIRAME,THIAKALAR,01,284,ECOLE ELEMENTAIRE CM2
