DÉPARTEMENT,COMMUNES,LIEU DE VOTE,N°,ÉLECTEURS,IMPLANTATION
KEDOUGOU,KEDOUGOU,ECOLE ALPHA MAMADOU SADIO BA,01,576,CLASSE CM2B
KEDOUGOU,KEDOUGOU,ECOLE ALPHA MAMADOU SADIO BA,02,432,SALLE DE CLASSE CM2A
KEDOUGOU,KEDOUGOU,ECOLE BAKARY DANSOKHO,01,599,CLASSE CM2 A
KEDOUGOU,KEDOUGOU,ECOLE BAKARY DANSOKHO,02,594,CLASSE CM2B
KEDOUGOU,KEDOUGOU,ECOLE BAKARY DANSOKHO,03,596,CLASSE CM1A
KEDOUGOU,KEDOUGOU,ECOLE BAKARY DANSOKHO,04,182,CLASSE CM1 B
KEDOUGOU,KEDOUGOU,ECOLE BAKARY SECK,01,549,CLASSE CI
KEDOUGOU,KEDOUGOU,ECOLE BAKARY SECK,02,553,CLASSE CM2 B
KEDOUGOU,KEDOUGOU,ECOLE BAKARY SECK,03,546,CLASSE CM1
KEDOUGOU,KEDOUGOU,ECOLE BAKARY SECK,04,517,CLASSE CE2
KEDOUGOU,KEDOUGOU,ECOLE BAKARY SECK,05,260,CLASSE CP A
KEDOUGOU,KEDOUGOU,ECOLE EL HADJI OMAR AIDARA,01,593,CLASSE CPA
KEDOUGOU,KEDOUGOU,ECOLE EL HADJI OMAR AIDARA,02,599,CLASSE CPB
KEDOUGOU,KEDOUGOU,ECOLE EL HADJI OMAR AIDARA,03,596,CLASSE CM2B
KEDOUGOU,KEDOUGOU,ECOLE EL HADJI OMAR AIDARA,04,581,CLASSE CE2A
KEDOUGOU,KEDOUGOU,ECOLE EL HADJI OMAR AIDARA,05,578,CLASSE CE2B
KEDOUGOU,KEDOUGOU,ECOLE EL HADJI OMAR AIDARA,06,576,CLASSE CE2A
KEDOUGOU,KEDOUGOU,ECOLE EL HADJI OMAR AIDARA,07,428,CLASSE CE1 A
KEDOUGOU,KEDOUGOU,ECOLE IBRAHIMA DANFAKHA,01,591,CLASSE CPA
KEDOUGOU,KEDOUGOU,ECOLE IBRAHIMA DANFAKHA,02,598,CLASSE CP B
KEDOUGOU,KEDOUGOU,ECOLE IBRAHIMA DANFAKHA,03,594,CLASSE CE2 A
KEDOUGOU,KEDOUGOU,ECOLE IBRAHIMA DANFAKHA,04,389,CLASSE CM2 A
KEDOUGOU,KEDOUGOU,ECOLE KENIOTO PEULH,01,405,CLASSE CP
KEDOUGOU,KEDOUGOU,ECOLE MARIAMA DIABY,01,590,CLASSE CM2
KEDOUGOU,KEDOUGOU,ECOLE MARIAMA DIABY,02,590,CLASSE CM1 B
KEDOUGOU,KEDOUGOU,ECOLE MARIAMA DIABY,03,565,CLASSE CPA
KEDOUGOU,KEDOUGOU,ECOLE THIERNO SALIF SIDIBE,01,594,CLASSE CM2 B
KEDOUGOU,KEDOUGOU,ECOLE THIERNO SALIF SIDIBE,02,597,CLASSE CM1 A
KEDOUGOU,KEDOUGOU,ECOLE THIERNO SALIF SIDIBE,03,504,CLASSE CE2A
KEDOUGOU,KEDOUGOU,ECOLE THIERNO SALIF SIDIBE,04,506,CLASSE CE2B
KEDOUGOU,KEDOUGOU,ECOLE THIERNO SALIF SIDIBE,05,261,CLASSE CE1 B
KEDOUGOU,BANDAFASSI,BADEMBA,01,144,ABRI PROVISOIRE
KEDOUGOU,BANDAFASSI,BANDAFASSI,01,482,CLASSE CM 2
KEDOUGOU,BANDAFASSI,BANDAFASSI,02,484,SALLE DE CLASSE
KEDOUGOU,BANDAFASSI,BAYTILAYE,01,287,ABRI PROVISOIRE
KEDOUGOU,BANDAFASSI,BOUDOUCOUNDI,01,231,CLASSE CM 2
KEDOUGOU,BANDAFASSI,DIENDJI,01,165,CLASSE CP
KEDOUGOU,BANDAFASSI,IBEL,01,348,CLASSE CM 2
KEDOUGOU,BANDAFASSI,IBEL,02,348,SALLE DE CLASSE
KEDOUGOU,BANDAFASSI,ITATO,01,257,ABRI PROVISOIRE
KEDOUGOU,BANDAFASSI,LAMINIYA,01,365,CLASSE CM 2
KEDOUGOU,BANDAFASSI,LANDE BAYTIL,01,395,CLASSE CM 1
