DÉPARTEMENT,COMMUNES,LIEU DE VOTE,N°,ÉLECTEURS,IMPLANTATION
KOLDA,DABO,ECOLE ELEMENTAIRE DABO,01,526,CLASSE CM 1B
KOLDA,DABO,ECOLE ELEMENTAIRE DABO,02,527,CLASSE CE 2B
KOLDA,DABO,ECOLE ELEMENTAIRE DABO,03,527,CLASSE CE 1A
KOLDA,DABO,ECOLE ELEMENTAIRE DABO,04,502,SALLE DE CLASSE
KOLDA,DABO,ECOLE TABASSAYE MANDINGUE,01,196,ABRI PROVISOIRE
KOLDA,DABO,TABAWAL ABDOUL,01,179,ABRI PROVISOIRE
KOLDA,DABO,TEMENTO DJIDE,01,289,CLASSE CE 2
KOLDA,DABO,THIAFFENA,01,224,ABRI PROVISOIRE
KOLDA,KOLDA,C E M 1,01,517,SALLE 8
KOLDA,KOLDA,C E M 1,02,517,SALLE 6
KOLDA,KOLDA,C E M 1,03,515,SALLE 15
KOLDA,KOLDA,C E M 1,04,517,SALLE 4
KOLDA,KOLDA,C E M 1,05,515,SALLE 2
KOLDA,KOLDA,C.E.M2,01,118,SALLE 11
KOLDA,KOLDA,C.E.M2,02,118,SALLE 12
KOLDA,KOLDA,C.E.M2,03,118,SALLE 6
KOLDA,KOLDA,C.E.M2,04,119,SALLE 9
KOLDA,KOLDA,C E M SIKILO OUEST,01,594,SALLE  2 5E D
KOLDA,KOLDA,C E M SIKILO OUEST,02,596,SALLE 4 4E F
KOLDA,KOLDA,C E M SIKILO OUEST,03,596,SALLE 6 3E B
KOLDA,KOLDA,C E M SIKILO OUEST,04,599,SALLE 8 3E 
KOLDA,KOLDA,C E M SIKILO OUEST,05,599,SALLE N°23 OU 3 EG
KOLDA,KOLDA,C E M SIKILO OUEST,06,586,SALLE 25
KOLDA,KOLDA,C E M SIKILO OUEST,07,585,SALLE 27
KOLDA,KOLDA,C E M SIKILO OUEST,08,452,SALLE 29
KOLDA,KOLDA,ECOLE ABDOULAYE DIALLO,01,586,CLASSE CM1B
KOLDA,KOLDA,ECOLE ABDOULAYE DIALLO,02,584,CLASSE CE1B
KOLDA,KOLDA,ECOLE ABDOULAYE DIALLO,03,583,CLASSE CPB
KOLDA,KOLDA,ECOLE ABDOULAYE DIALLO,04,582,CLASSE CIB
KOLDA,KOLDA,ECOLE ABDOULAYE DIALLO,05,584,CLASSE CE2A
KOLDA,KOLDA,ECOLE ABDOULAYE DIALLO,06,586,CLASSE CM2A
KOLDA,KOLDA,ECOLE AMADOU MICHEL DIOP,01,585,SALLE 6 CM2A
KOLDA,KOLDA,ECOLE AMADOU MICHEL DIOP,02,586,SALLE 4 CE2A
KOLDA,KOLDA,ECOLE AMADOU MICHEL DIOP,03,588,CLASSE CPA
KOLDA,KOLDA,ECOLE AMADOU MICHEL DIOP,04,586,CLASSE CPB
KOLDA,KOLDA,ECOLE AMADOU MICHEL DIOP,05,592,SALLE CE2 B
KOLDA,KOLDA,ECOLE AMADOU MICHEL DIOP,06,226,SALLE CEM2 B
KOLDA,KOLDA,ECOLE CHERIF MACKY AIDARA,01,275,CLASSE CM2B
KOLDA,KOLDA,ECOLE CHERIF MACKY AIDARA,02,276,CLASSE CPA
KOLDA,KOLDA,ECOLE GADAPARA,01,520,ECOLE GADAPARA OUEST CM1 A
KOLDA,KOLDA,ECOLE GADAPARA,02,526,ECOLE GADAPARA OUEST CM1 B
KOLDA,KOLDA,ECOLE GADAPARA,03,519,ECOLE GADAPARA OUEST CE1 B
KOLDA,KOLDA,ECOLE GADAPARA,04,523,ECOLE GADAPARA OUEST CP B
KOLDA,KOLDA,ECOLE GADAPARA,05,527,ECOLE GADAPARA OUEST CI A
KOLDA,KOLDA,ECOLE ILELE,01,574,CLASSE CE1B
KOLDA,KOLDA,ECOLE ILELE,02,571,SALLE 5
KOLDA,KOLDA,ECOLE ILELE,03,575,CLASSE CM2 B
KOLDA,KOLDA,ECOLE JOSEPH BALDE,01,594,CLASSE CM2A
KOLDA,KOLDA,ECOLE JOSEPH BALDE,02,599,ECOLE CM1A
KOLDA,KOLDA,ECOLE JOSEPH BALDE,03,598,CLASSE CE2A
KOLDA,KOLDA,ECOLE JOSEPH BALDE,04,594,CLASSE CPA
KOLDA,KOLDA,ECOLE JOSEPH BALDE,05,592,CLASSE CIA
KOLDA,KOLDA,ECOLE JOSEPH BALDE,06,592,CLASSE CE 1 A
KOLDA,KOLDA,ECOLE JOSEPH BALDE,07,261,CLASSE CE2 A
KOLDA,KOLDA,ECOLE MATERNELLE,01,526,CLASSE MOYENNE SECTION A
KOLDA,KOLDA,ECOLE MATERNELLE,02,526,CLASSE GRANDE SECTION B
KOLDA,KOLDA,ECOLE MATERNELLE,03,524,CLASSE GRANDE SECTION A
KOLDA,KOLDA,ECOLE NORMALE,01,524,FOYER
KOLDA,KOLDA,ECOLE NORMALE,02,525,SALLE D ATTENTE DIRECTION
KOLDA,KOLDA,ECOLE NORMALE,03,489,BLOC B SALLE D
KOLDA,KOLDA,ECOLE OUSMANE SENGHOR,01,407,CLASSE CE2A
KOLDA,KOLDA,ECOLE OUSMANE SENGHOR,02,404,CLASSE CM2B
KOLDA,KOLDA,ECOLE OUSMANE SENGHOR,03,405,CLASSE CPA
KOLDA,KOLDA,ECOLE OUSMANE SENGHOR,04,404,CLASSE CE1B
