DÉPARTEMENT,COMMUNES,LIEU DE VOTE,N°,ÉLECTEURS,IMPLANTATION
KEBEMER,GUEOUL,ECOLE GUEOUL 1,01,519,CLASSE CE1A
KEBEMER,GUEOUL,ECOLE GUEOUL 1,02,524,CLASSE CM2A
KEBEMER,GUEOUL,ECOLE GUEOUL 2,01,473,CLASSE CM1
KEBEMER,GUEOUL,ECOLE GUEOUL 2,02,472,CLASSE CM2
KEBEMER,GUEOUL,ECOLE GUEOUL 3,01,598,CLASSE CM2A
KEBEMER,GUEOUL,ECOLE GUEOUL 3,02,19,CLASSE CE2 A
KEBEMER,GUEOUL,ECOLE GUEOUL 4,01,495,CLASSE C M 2 A
KEBEMER,GUEOUL,ECOLE GUEOUL 4,02,494,CLASSE CM1
KEBEMER,GUEOUL,FOYER DES JEUNES,01,443,SALLE 1 FOYER DES JEUNES
KEBEMER,GUEOUL,FOYER DES JEUNES,02,439,SALLE 2 FOYER DES JEUNES
KEBEMER,KEBEMER,C E M MACODOU KANGHE SALL,01,583,CLASSE 16
KEBEMER,KEBEMER,C E M MACODOU KANGHE SALL,02,586,CLASSE 13
KEBEMER,KEBEMER,C E M MACODOU KANGHE SALL,03,587,CLASSE 11
KEBEMER,KEBEMER,C E M MACODOU KANGHE SALL,04,587,CLASSE 04
KEBEMER,KEBEMER,C E M MACODOU KANGHE SALL,05,581,CLASSE 6
KEBEMER,KEBEMER,C E M MACODOU KANGHE SALL,06,160,SALLE DE CLASSE N 15
KEBEMER,KEBEMER,CENTRE ENSEIGNEMENT TECHNIQUE FEMININ,01,597,ECOLE KEBEMER 6 SALLE DE CLASSE
KEBEMER,KEBEMER,CENTRE ENSEIGNEMENT TECHNIQUE FEMININ,02,596,ECOLE KEBEMER 6 SALLE DE CLASSE
KEBEMER,KEBEMER,CENTRE ENSEIGNEMENT TECHNIQUE FEMININ,03,596,ECOLE KEBEMER 6 SALLE DE CLASSE
KEBEMER,KEBEMER,CENTRE ENSEIGNEMENT TECHNIQUE FEMININ,04,566,ECOLE KEBEMER 6 SALLE DE CLASSE
KEBEMER,KEBEMER,CENTRE ENSEIGNEMENT TECHNIQUE FEMININ,05,564,ECOLE KEBEMER 6 SALLE DE CLASSE
KEBEMER,KEBEMER,ECOLE CHEIKH IBRA FAYE,01,551,CLASSE CE1 B
KEBEMER,KEBEMER,ECOLE CHEIKH IBRA FAYE,02,551,CLASSE CM 2 A
KEBEMER,KEBEMER,ECOLE CHEIKH IBRA FAYE,03,547,SALLE CLASSE
KEBEMER,KEBEMER,ECOLE CHEIKH IBRA FAYE,04,538,SALLE CM2
KEBEMER,KEBEMER,ECOLE KEBEMER 5,01,597,CLASSE CM2 A
KEBEMER,KEBEMER,ECOLE KEBEMER 5,02,600,CLASSE CI
KEBEMER,KEBEMER,ECOLE KEBEMER 5,03,579,CLASSE CE2
KEBEMER,KEBEMER,ECOLE KEBEMER 5,04,150,CLASSE CM1
KEBEMER,KEBEMER,ECOLE MATERNELLE,01,561,ECOLE KEBEMER 7 SALLE DE CLASSE
KEBEMER,KEBEMER,ECOLE MATERNELLE,02,561,ECOLE KEBEMER 7 SALLE DE CLASSE
KEBEMER,KEBEMER,ECOLE MATERNELLE,03,560,ECOLE KEBEMER 7 SALLE DE CLASSE
KEBEMER,KEBEMER,ECOLE MATERNELLE,04,560,ECOLE KEBEMER 7 SALLE DE CLASSE
KEBEMER,KEBEMER,ECOLE PAPA AMADOU DIAO,01,596,CLASSE CM2 B
KEBEMER,KEBEMER,ECOLE PAPA AMADOU DIAO,02,595,CLASSE CE1 A
KEBEMER,KEBEMER,ECOLE PAPA AMADOU DIAO,03,596,CLASSE CI A
KEBEMER,KEBEMER,ECOLE PAPA AMADOU DIAO,04,525,CLASSE CM2
KEBEMER,KEBEMER,ECOLE PAPA AMADOU DIAO,05,525,CLASSE CE2
KEBEMER,KEBEMER,NDAKHAR LAMANE,01,389,CLASSE CE 2
KEBEMER,KEBEMER,TOBBI DIOP,01,365,CLASSE CM 2
KEBEMER,DAROU MARNANE,BAYTI MBARI BEYE,01,190,ABRI PROVISOIRE
KEBEMER,DAROU MARNANE,DAROU MARNANE ECOLE,01,572,CLASSE CM2
KEBEMER,DAROU MARNANE,DAROU MARNANE ECOLE,02,579,CLASSE CM1
KEBEMER,DAROU MARNANE,DAROU MARNANE ECOLE,03,577,CLASSE CE2
KEBEMER,DAROU MARNANE,DAROU MARNANE ECOLE,04,576,SALLE DE CLASSE
KEBEMER,DAROU MARNANE,DAROU MARNANE HOTEL COMMUNAUTA,01,137,SALLE DELIBERATION
KEBEMER,DAROU MARNANE,DEKHEULE,01,163,ABRI PROVISOIRE
KEBEMER,DAROU MARNANE,FASS TOURE,01,564,ABRI PROVISOIRE
KEBEMER,DAROU MARNANE,KEUR MATAR BINTA OUOLOF,01,183,ABRI PROVISOIRE
KEBEMER,DAROU MARNANE,KOCKI KADE,01,215,ABRI PROVISOIRE
KEBEMER,DAROU MARNANE,NDIMBOLOGNE,01,308,ABRI PROVISOIRE
KEBEMER,DAROU MARNANE,TOUBA ROFF,01,248,ABRI PROVISOIRE
KEBEMER,DAROU MOUSTI,ARAFAAT,01,565,ABRI PROVISOIRE
KEBEMER,DAROU MOUSTI,BEUBEUNE 1,01,115,ABRI PROVISOIRE
KEBEMER,DAROU MOUSTI,BOULEL SECK,01,328,CLASSE CE1
KEBEMER,DAROU MOUSTI,CEM SERIGNE MAHMADANE MBACKE,01,469,SALLE 2
KEBEMER,DAROU MOUSTI,CEM SERIGNE MAHMADANE MBACKE,02,471,SALLE 4
KEBEMER,DAROU MOUSTI,CEM SERIGNE MAHMADANE MBACKE,03,471,SALLE 6
KEBEMER,DAROU MOUSTI,CEM SERIGNE MAHMADANE MBACKE,04,471,SALLE 7
KEBEMER,DAROU MOUSTI,CEM SERIGNE MAHMADANE MBACKE,05,471,SAELLE 9
KEBEMER,DAROU MOUSTI,CEM SERIGNE MAHMADANE MBACKE,06,471,SALLE 11
KEBEMER,DAROU MOUSTI,DAROU DIOP,01,373,ABRI PROVISOIRE
KEBEMER,DAROU MOUSTI,DAROU KRATIEL,01,281,CLASSE CI
KEBEMER,DAROU MOUSTI,DAROUL MOUHTY ECOLE 3,01,435,CLASSE CM1
KEBEMER,DAROU MOUSTI,DAROUL MOUHTY ECOLE 3,02,433,CLASSE CM2
KEBEMER,DAROU MOUSTI,DAROUL MOUHTY ECOLE 3,03,436,SALLE CE 1
KEBEMER,DAROU MOUSTI,DAROUL MOUHTY ECOLE 5,01,419,CLASSE CE1A
KEBEMER,DAROU MOUSTI,DAROUL MOUHTY ECOLE 5,02,417,CLASSE CE1B
KEBEMER,DAROU MOUSTI,DAROUL MOUHTY ECOLE 5,03,417,CLASSE CE2A
KEBEMER,DAROU MOUSTI,DAROUL MOUHTY ECOLE 5,04,417,CLASSE CE2B
KEBEMER,DAROU MOUSTI,DAROUL MOUHTY ECOLE MODOU HABIB,01,452,CLASSE CI
KEBEMER,DAROU MOUSTI,DAROUL MOUHTY ECOLE MODOU HABIB,02,453,CLASSE CP
KEBEMER,DAROU MOUSTI,DAROUL MOUHTY ECOLE MODOU HABIB,03,452,CLASSE CE1
KEBEMER,DAROU MOUSTI,DAROUL MOUHTY ECOLE MODOU HABIB,04,452,CLASSE CE2
KEBEMER,DAROU MOUSTI,DAROUL MOUHTY ECOLE MODOU HABIB,05,452,CLASSE CM1A
KEBEMER,DAROU MOUSTI,DAROUL MOUHTY ECOLE MODOU HABIB,06,453,CLASSE CM1B
KEBEMER,DAROU MOUSTI,DAROUL MOUHTY ECOLE MODOU HABIB,07,451,CLASSE CM2A
KEBEMER,DAROU MOUSTI,DAROUL MOUHTY ECOLE MODOU HABIB,08,451,SALLE DE CLASSE
KEBEMER,DAROU MOUSTI,DAROUL MOUHTY VETERINAIRE,01,446,FORAGE F1 ABRI PROVISOIRE N 1
KEBEMER,DAROU MOUSTI,DAROUL MOUHTY VETERINAIRE,02,448,FORAGE F1 ABRI PROVISOIRE N 2
KEBEMER,DAROU MOUSTI,DAROUL MOUHTY VETERINAIRE,03,448,FORAGE F1 ABRI PROVISOIRE N 3
KEBEMER,DAROU MOUSTI,DAROUL MOUHTY VETERINAIRE,04,450,FORAGE F1 ABRI PROVISOIRE N 4
