DÉPARTEMENT,COMMUNES,LIEU DE VOTE,N°,ÉLECTEURS,IMPLANTATION
DAGANA,DAGANA,ECOLE ALGOR DIOUM,01,597,CLASSE CM2A
DAGANA,DAGANA,ECOLE ALGOR DIOUM,02,594,CLASSE CM1A
DAGANA,DAGANA,ECOLE ALGOR DIOUM,03,595,CLASSE CE2B
DAGANA,DAGANA,ECOLE ALGOR DIOUM,04,595,CLASSE CE1A
DAGANA,DAGANA,ECOLE ALGOR DIOUM,05,598,CLASSE CPA
DAGANA,DAGANA,ECOLE ALGOR DIOUM,06,594,CLASSE CIA
DAGANA,DAGANA,ECOLE ALGOR DIOUM,07,584,CLASSE CE2 A
DAGANA,DAGANA,ECOLE ALGOR DIOUM,08,588,CLASSE CM1 B
DAGANA,DAGANA,ECOLE ALGOR DIOUM,09,585,CLASSE CE1 B
DAGANA,DAGANA,ECOLE ALGOR DIOUM,10,587,CLASSE CM2 B
DAGANA,DAGANA,ECOLE ALGOR DIOUM,11,564,SALLE DE CLASSE
DAGANA,DAGANA,ECOLE ALIOUNE SARR,01,596,CLASSE CM2A
DAGANA,DAGANA,ECOLE ALIOUNE SARR,02,596,CLASSE CM1A
DAGANA,DAGANA,ECOLE ALIOUNE SARR,03,594,CLASSECE2B
DAGANA,DAGANA,ECOLE ALIOUNE SARR,04,362,CLASSE CE2 B
DAGANA,DAGANA,ECOLE ALIOUNE SARR,05,362,CLASSE CE2 A
DAGANA,DAGANA,ECOLE ALIOUNE SARR,06,362,CLASSE CE1 A
DAGANA,DAGANA,ECOLE ALIOUNE SARR,07,361,CLASSE CE1 B
DAGANA,DAGANA,ECOLE ALIOUNE SOW MBANA,01,555,CLASSE CM2A
DAGANA,DAGANA,ECOLE ALIOUNE SOW MBANA,02,553,CLASSE CM1A
DAGANA,DAGANA,ECOLE ALIOUNE SOW MBANA,03,554,CLASSE CE2B
DAGANA,DAGANA,ECOLE ALIOUNE SOW MBANA,04,553,CLASSE CM2 B
DAGANA,DAGANA,ECOLE ALIOUNE SOW MBANA,05,546,CLASSE CE1 B
DAGANA,DAGANA,ECOLE MEDINA CHERIF,01,488,CLASSE CM2
DAGANA,DAGANA,ECOLE MEDINA CHERIF,02,488,CLASSE CE1
DAGANA,DAGANA,LYCEE ALPHA MAYORO WELLE,01,580,LYCEE A. MAYORO WELLE SALLE 1
DAGANA,DAGANA,LYCEE ALPHA MAYORO WELLE,02,579,SALLE 3
DAGANA,DAGANA,LYCEE ALPHA MAYORO WELLE,03,580,SALLE 5
DAGANA,DAGANA,LYCEE ALPHA MAYORO WELLE,04,579,SALLE 7
DAGANA,DAGANA,LYCEE ALPHA MAYORO WELLE,05,580,SALLE 9
DAGANA,DAGANA,LYCEE ALPHA MAYORO WELLE,06,579,SALLE 11
DAGANA,DAGANA,LYCEE ALPHA MAYORO WELLE,07,163,SALLE 2
DAGANA,GAE,GAE,01,537,CLASSE CI A
DAGANA,GAE,GAE,02,535,CLASSE CE1 B
DAGANA,GAE,GAE,03,533,CLASSE CE2 B
DAGANA,GAE,GAE,04,535,CLASSE CM1 A
DAGANA,GAE,GAE,05,526,CLASSE CM1 B
DAGANA,GAE,GAE,06,535,CLASSE CM2 A
DAGANA,GAE,GAE,07,535,CLASSE CM2 B
DAGANA,GAE,GAE,08,533,CLASSE CE 2 A
DAGANA,GAE,GAE,09,533,CLASSE CE1 A
DAGANA,GAE,GOUMEL,01,134,CLASSE CE 1
DAGANA,GAE,NDIAREME,01,576,CLASSE CI
DAGANA,GAE,NDIAREME,02,577,CLASSE CP
DAGANA,NDOMBO SANDJIRY,DIAMEGUEUNE,01,420,ABRI PROVISOIRE
DAGANA,NDOMBO SANDJIRY,NDOMBO,01,540,CLASSE CP
DAGANA,NDOMBO SANDJIRY,NDOMBO,02,538,CLASSE CE 1
DAGANA,NDOMBO SANDJIRY,NDOMBO,03,539,CLASSE CM 1
DAGANA,NDOMBO SANDJIRY,NDOMBO,04,541,CLASSE CM 2
DAGANA,NDOMBO SANDJIRY,NDOMBO,05,540,CLASSE CE2
DAGANA,RICHARD TOLL,ECOLE CAMPEMENT 1,01,537,CLASSE CM2
DAGANA,RICHARD TOLL,ECOLE CAMPEMENT 1,02,537,CLASSECM1
DAGANA,RICHARD TOLL,ECOLE CAMPEMENT 1,03,538,CLASSE CE2 B
DAGANA,RICHARD TOLL,ECOLE CAMPEMENT 1,04,516,CLASSE CM2 B
DAGANA,RICHARD TOLL,ECOLE DIACKSAO,01,521,CLASSE CM2
DAGANA,RICHARD TOLL,ECOLE DIACKSAO,02,126,CLASSE CE2
DAGANA,RICHARD TOLL,ECOLE GALLO MALICK,01,592,CLASSE CM2A
DAGANA,RICHARD TOLL,ECOLE GALLO MALICK,02,595,CLASSE CM1A
DAGANA,RICHARD TOLL,ECOLE GALLO MALICK,03,590,CLASSE CM1B
DAGANA,RICHARD TOLL,ECOLE GALLO MALICK,04,591,CLASSE CM2B
DAGANA,RICHARD TOLL,ECOLE GALLO MALICK,05,597,CLASSE CE3A
DAGANA,RICHARD TOLL,ECOLE GAYA 2,01,596,CLASSE CM2
DAGANA,RICHARD TOLL,ECOLE GAYA 2,02,593,CLASSE CM1
DAGANA,RICHARD TOLL,ECOLE GAYA 2,03,563,CLASSE  CE2 A
DAGANA,RICHARD TOLL,ECOLE KHOUMA,01,387,CLASSE CM2A
DAGANA,RICHARD TOLL,ECOLE KHOUMA,02,388,CLASSE CM1A
DAGANA,RICHARD TOLL,ECOLE KHOUMA,03,390,CLASSE CM1B
DAGANA,RICHARD TOLL,ECOLE KHOUMA,04,391,CLASSE CM2B
DAGANA,RICHARD TOLL,ECOLE KHOUMA,05,387,CLASSE CE3A
