DÉPARTEMENT,COMMUNES,LIEU DE VOTE,N°,ÉLECTEURS,IMPLANTATION
MBOUR,JOAL FADIOUTH,CEM LAMINE SENGHOR,01,600,SALLE 1
MBOUR,JOAL FADIOUTH,CEM LAMINE SENGHOR,02,598,SALLE 4
MBOUR,JOAL FADIOUTH,CEM LAMINE SENGHOR,03,594,SALLE 6
MBOUR,JOAL FADIOUTH,CEM LAMINE SENGHOR,04,600,SALLE 10
MBOUR,JOAL FADIOUTH,CEM LAMINE SENGHOR,05,597,SALLE 14
MBOUR,JOAL FADIOUTH,CEM LAMINE SENGHOR,06,333,SALLE15
MBOUR,JOAL FADIOUTH,CENTRE SOCIAL THERESE GUIDE NDIAYE,01,307,SALLE 1
MBOUR,JOAL FADIOUTH,CENTRE SOCIAL THERESE GUIDE NDIAYE,02,310,SALLE 2
MBOUR,JOAL FADIOUTH,CENTRE SOCIAL THERESE GUIDE NDIAYE,03,305,SALLE DE REUNION 1
MBOUR,JOAL FADIOUTH,CENTRE SOCIAL THERESE GUIDE NDIAYE,04,310,SALLE DE REUNION 2
MBOUR,JOAL FADIOUTH,ECOLE SAINTE-THERESE,01,330,CLASSE CIA
MBOUR,JOAL FADIOUTH,ECOLE SAINTE-THERESE,02,335,CLASSE CM2
MBOUR,JOAL FADIOUTH,ECOLE SAINTE-THERESE,03,339,SALLE DE LA BIBLIOTHEQUE
MBOUR,JOAL FADIOUTH,ECOLE SAINTE-THERESE,04,330,CLASSE CE2A
MBOUR,JOAL FADIOUTH,ECOLE SAINT THOMAS,01,327,CLASSE CIA
MBOUR,JOAL FADIOUTH,ECOLE SAINT THOMAS,02,330,CLASSE CIB
MBOUR,JOAL FADIOUTH,ECOLE SAINT THOMAS,03,328,CLASSE CPA
MBOUR,JOAL FADIOUTH,ECOLE SAINT THOMAS,04,331,CLASSE CPB
MBOUR,JOAL FADIOUTH,ECOLE SAINT THOMAS,05,331,CLASSE CE1A
MBOUR,JOAL FADIOUTH,ECOLE SAINT THOMAS,06,327,CLASSE CE1B
MBOUR,JOAL FADIOUTH,ECOLE SANTHIE 2,01,593,SALLE01LYCEE LEOPOLD S SENGHOR
MBOUR,JOAL FADIOUTH,ECOLE SANTHIE 2,02,592,SALLE 02 LYCEE LEOPOLD S SENGHOR
MBOUR,JOAL FADIOUTH,ECOLE SANTHIE 2,03,596,SALLE 03 LYCEE LEOPOLD S SENGHOR
MBOUR,JOAL FADIOUTH,ECOLE SANTHIE 2,04,595,SALLE 04 LYCEE LEOPOLD S SENGHOR
MBOUR,JOAL FADIOUTH,ECOLE SANTHIE 2,05,599,SALLE 09 LYCEE LEOPOLD S SENGHOR
MBOUR,JOAL FADIOUTH,ECOLE SANTHIE 2,06,596,SALLE10 LYCEE LEOPOLD S SENGHOR
