DÉPARTEMENT,COMMUNES,LIEU DE VOTE,N°,ÉLECTEURS,IMPLANTATION
BIGNONA,BIGNONA,BANDIONKOTO,01,597,CLASSE CM1 A
BIGNONA,BIGNONA,BANDIONKOTO,02,599,CLASSE CE2 A
BIGNONA,BIGNONA,BANDIONKOTO,03,595,CLASSE CM1 B
BIGNONA,BIGNONA,BANDIONKOTO,04,593,BAT5 SALLE CIB
BIGNONA,BIGNONA,BANDIONKOTO,05,592,BAT1 SALLE CPB
BIGNONA,BIGNONA,BANDIONKOTO,06,326,BATIMENT 4 SALLE CM2 A
BIGNONA,BIGNONA,BASSENE,01,428,CLASSE CM1 A
BIGNONA,BIGNONA,BASSENE,02,427,CLASSE CM2 A
BIGNONA,BIGNONA,BASSENE,03,429,CLASSE CM2 B
BIGNONA,BIGNONA,BASSENE,04,427,CLASSE CI A
BIGNONA,BIGNONA,BASSENE,05,422,CLASSE CP B
BIGNONA,BIGNONA,BASSENE,06,427,CLASSE CE2 A
BIGNONA,BIGNONA,BASSENE,07,426,CLASSE CE1 A
BIGNONA,BIGNONA,CHATEAU D'EAU,01,589,BATIMENT N SALLA NO
BIGNONA,BIGNONA,CHATEAU D'EAU,02,597,BATIMENT C SALLE C1
BIGNONA,BIGNONA,CHATEAU D'EAU,03,594,BATIMENT E SALLE 01
BIGNONA,BIGNONA,CHATEAU D'EAU,04,596,BATIMENT F SALLE 01
BIGNONA,BIGNONA,CHATEAU D'EAU,05,594,BATIMENT D SALLE 1
BIGNONA,BIGNONA,CHATEAU D'EAU,06,340,BATIMENT G SALLE 2
BIGNONA,BIGNONA,KADIAMORE,01,596,CEM LA SORBONE SALLE DE CLASSE
BIGNONA,BIGNONA,KADIAMORE,02,595,CEM LA SORBONE SALLE DE CLASSE
BIGNONA,BIGNONA,KADIAMORE,03,597,CEM LA SORBONE SALLE DE CLASSE
BIGNONA,BIGNONA,KADIAMORE,04,570,CEM LA SORBONE SALLE DE CLASSE
BIGNONA,BIGNONA,KADIAMORE,05,395,CEM LA SORBONE SALLE DE CLASSE
BIGNONA,BIGNONA,MANGUILINE,01,390,ECOLE KOULAYE SAGNA SALLE DE CLA
BIGNONA,BIGNONA,MANGUILINE,02,392,ECOLE KOULAYE SAGNA SALLE DE CLA
BIGNONA,BIGNONA,MANGUILINE,03,395,ECOLE KOULAYE SAGNA SALLE DE CLA
BIGNONA,BIGNONA,MANGUILINE,04,392,ECOLE KOULAYE SAGNA SALLE DE CLA
BIGNONA,BIGNONA,MANGUILINE,05,389,ECOLE KOULAYE SAGNA SALLE DE CLA
BIGNONA,BIGNONA,MANGUILINE,06,394,ECOLE KOULAYE SAGNA SALLE DE CLA
BIGNONA,BIGNONA,MANGUILINE,07,393,ECOLE KOULAYE SAGNA SALLE DE CLA
BIGNONA,BIGNONA,MEDINA PLATEAU,01,595,CEM ARFAND B. SONKO SALLE DE CLAS
BIGNONA,BIGNONA,MEDINA PLATEAU,02,597,CEM ARFAND B. SONKO SALLE DE CLAS
BIGNONA,BIGNONA,MEDINA PLATEAU,03,595,CEM ARFAND B. SONKO SALLE DE CLAS
BIGNONA,BIGNONA,MEDINA PLATEAU,04,594,CEM ARFAND B. SONKO SALLE DE CLAS
BIGNONA,BIGNONA,MEDINA PLATEAU,05,592,CEM ARFAND B. SONKO SALLE DE CLAS
BIGNONA,BIGNONA,MEDINA PLATEAU,06,593,CEM ARFAND B. SONKO SALLE DE CLAS
BIGNONA,BIGNONA,MEDINA PLATEAU,07,591,CEM ARFAND B. SONKO SALLE DE CLAS
BIGNONA,BIGNONA,MEDINA PLATEAU,08,597,CEM ARFAND B. SONKO SALLE DE CLAS
BIGNONA,BIGNONA,MEDINA PLATEAU,09,567,CEM ARFAND B. SONKO SALLE DE CLAS
BIGNONA,BIGNONA,MEDINA PLATEAU,10,567,CEM ARFAND B. SONKO SALLE DE CLAS
BIGNONA,BIGNONA,MEDINA PLATEAU,11,566,CEM ARFAND B. SONKO SALLE DE CLAS
BIGNONA,BIGNONA,MEDINA PLATEAU,12,567,CEM ARFAND B. SONKO SALLE DE CLAS
BIGNONA,BIGNONA,MEDINA PLATEAU,13,567,CEM ARFAND B. SONKO SALLE DE CLAS
BIGNONA,BIGNONA,MEDINA PLATEAU,14,566,CEM ARFAND B. SONKO SALLE DE CLAS
BIGNONA,BIGNONA,MEDINA PLATEAU,15,567,SALLE 15
